"Figure 1: Average weekly household expenditure increased by 3% during FYE 2024 ",""
"Average weekly household expenditure in nominal and real terms, UK, financial year ending (FYE) 2002 to FYE 2024",""
"",""
"Notes","1. Real-terms expenditure figures are adjusted for inflation using the Consumer Prices Index (CPI) specific to the classification of individual consumption by purpose (COICOP) category. Total real expenditure is generated as a sum of the deflated COICOP categories 1 to 13. 
2. Real-terms values are deflated to FYE 2024 prices.
3. Household expenditure figures are on a financial year basis FYE 2002 to FYE 2006, calendar years 2007 to 2013, and financial years FYE 2015 to FYE 2024. "
"Unit","£"
"",""
"","Nominal mean weekly expenditure","Real-terms mean weekly expenditure"
"2002","398.30","729.80"
"2003","406.20","734.30"
"2004","418.10","739.10"
"2005","434.40","743.00"
"2006","443.40","739.80"
"2007","459.20","720.50"
"2008","471.00","709.80"
"2009","455.00","700.00"
"2010","473.60","707.80"
"2011","483.60","691.20"
"2012","489.00","679.20"
"2013","517.30","700.30"
"2014","531.30","709.50"
"2015","527.30","703.20"
"2016","528.90","707.40"
"2017","554.20","734.00"
"2018","575.70","743.10"
"2019","592.00","745.40"
"2020","587.90","728.50"
"2021","481.50","601.30"
"2022","528.80","633.10"
"2023","567.70","607.90"
"2024","623.30","623.30"
