"Figure 2: The average rent in Great Britain was £1,246 in March 2024",""
"Average private rent, Great Britain and its countries, January 2015 to March 2024",""
"",""
"Notes","1. Because of data collection limitations, Scotland rents data (underlying the PIPR's stock measure) are mainly for advertised new lets, which were not subject to [Scotland's in-tenancy price-increase cap](https://www.parliament.scot/bills-and-laws/bills/cost-of-living-tenant-protection-scotland-bill) and are not subject to [temporary changes to the Rent Adjudication system](https://www.gov.scot/publications/cost-of-living-rent-and-eviction/pages/rent-adjudiction/)."
"Unit","£"
"",""
"Date","Great Britain","England","Wales","Scotland"
"Jan 2015","918","948","540","671"
"Feb 2015","920","950","542","673"
"Mar 2015","924","954","542","674"
"Apr 2015","926","957","543","677"
"May 2015","930","961","544","678"
"Jun 2015","931","962","545","679"
"Jul 2015","934","965","545","680"
"Aug 2015","938","970","544","682"
"Sep 2015","940","972","544","683"
"Oct 2015","942","974","545","684"
"Nov 2015","944","976","546","684"
"Dec 2015","946","979","546","683"
"Jan 2016","949","982","546","685"
"Feb 2016","951","984","547","685"
"Mar 2016","954","987","547","686"
"Apr 2016","956","990","547","687"
"May 2016","960","994","546","688"
"Jun 2016","961","995","547","687"
"Jul 2016","965","999","547","688"
"Aug 2016","968","1003","549","689"
"Sep 2016","971","1005","551","690"
"Oct 2016","974","1009","552","691"
"Nov 2016","977","1012","553","692"
"Dec 2016","979","1014","553","693"
"Jan 2017","982","1017","555","695"
"Feb 2017","983","1018","556","696"
"Mar 2017","983","1019","556","696"
"Apr 2017","986","1022","556","699"
"May 2017","986","1022","557","701"
"Jun 2017","989","1025","560","702"
"Jul 2017","991","1026","562","704"
"Aug 2017","992","1027","563","707"
"Sep 2017","992","1027","564","708"
"Oct 2017","993","1028","565","710"
"Nov 2017","994","1029","565","710"
"Dec 2017","995","1030","567","711"
"Jan 2018","994","1029","566","713"
"Feb 2018","995","1030","566","715"
"Mar 2018","994","1029","568","717"
"Apr 2018","995","1029","570","718"
"May 2018","995","1029","571","719"
"Jun 2018","997","1031","571","719"
"Jul 2018","998","1032","573","720"
"Aug 2018","999","1034","573","722"
"Sep 2018","1001","1035","575","723"
"Oct 2018","1003","1038","575","723"
"Nov 2018","1005","1040","576","725"
"Dec 2018","1007","1041","579","725"
"Jan 2019","1008","1043","579","725"
"Feb 2019","1009","1044","580","726"
"Mar 2019","1011","1046","581","728"
"Apr 2019","1011","1046","583","730"
"May 2019","1016","1051","583","732"
"Jun 2019","1016","1051","584","735"
"Jul 2019","1017","1052","583","737"
"Aug 2019","1019","1054","585","739"
"Sep 2019","1022","1057","589","740"
"Oct 2019","1024","1059","590","742"
"Nov 2019","1027","1062","591","744"
"Dec 2019","1029","1064","592","745"
"Jan 2020","1029","1065","592","746"
"Feb 2020","1031","1067","593","746"
"Mar 2020","1032","1068","593","748"
"Apr 2020","1032","1067","593","750"
"May 2020","1033","1069","596","752"
"Jun 2020","1034","1069","597","751"
"Jul 2020","1035","1070","600","752"
"Aug 2020","1036","1071","600","752"
"Sep 2020","1038","1073","599","752"
"Oct 2020","1039","1075","599","752"
"Nov 2020","1039","1075","600","754"
"Dec 2020","1040","1075","602","755"
"Jan 2021","1041","1076","604","756"
"Feb 2021","1042","1078","605","756"
"Mar 2021","1043","1078","605","758"
"Apr 2021","1043","1078","606","761"
"May 2021","1043","1078","608","763"
"Jun 2021","1045","1080","609","764"
"Jul 2021","1046","1081","608","765"
"Aug 2021","1049","1084","611","766"
"Sep 2021","1051","1086","612","767"
"Oct 2021","1055","1090","613","768"
"Nov 2021","1058","1094","617","772"
"Dec 2021","1064","1099","619","779"
"Jan 2022","1068","1103","620","782"
"Feb 2022","1072","1108","622","785"
"Mar 2022","1076","1112","623","790"
"Apr 2022","1080","1116","624","795"
"May 2022","1084","1120","629","798"
"Jun 2022","1088","1124","632","801"
"Jul 2022","1093","1129","635","803"
"Aug 2022","1099","1135","639","806"
"Sep 2022","1105","1141","645","813"
"Oct 2022","1109","1146","647","821"
"Nov 2022","1117","1153","651","828"
"Dec 2022","1123","1159","654","836"
"Jan 2023","1130","1166","659","843"
"Feb 2023","1136","1172","663","851"
"Mar 2023","1142","1178","667","857"
"Apr 2023","1151","1187","675","865"
"May 2023","1161","1198","678","876"
"Jun 2023","1170","1206","687","885"
"Jul 2023","1178","1215","693","892"
"Aug 2023","1186","1223","693","901"
"Sep 2023","1194","1231","702","907"
"Oct 2023","1202","1239","710","916"
"Nov 2023","1209","1246","715","921"
"Dec 2023","1217","1254","716","927"
"Jan 2024","1226","1263","719","937"
"Feb 2024","1238","1276","723","944"
"Mar 2024","1246","1285","727","947"
