year,age,years_elapsed,buyer_property_value,buyer_mortgage_balance,buyer_equity,buyer_cash,buyer_net_worth,buyer_total_paid,buyer_annual_cost,renter_cash,renter_net_worth,renter_total_paid,renter_annual_cost,monthly_rent,wealth_gap,wealth_gap_percent
2024,25,0,290000.0,232000.0,58000.0,0,58000.0,58000.0,58000.0,58000.0,58000.0,0,0,1246.0,0.0,0.0
2025,26,1,302528.0,227850.16,74677.84,0,74677.84,76818.24,18818.24,63999.27,63999.27,15192.0,15192.0,1246.0,10678.57,16.69
2026,27,2,315597.21,223535.12,92062.09,0,92062.09,95761.75,18943.52,68942.21,68942.21,31744.63,16552.63,1359.39,23119.88,33.54
2027,28,3,329231.01,219048.3,110182.71,0,110182.71,114835.96,19074.21,72667.89,72667.89,49781.71,18037.08,1483.09,37514.82,51.63
2028,29,4,343453.79,214382.87,129070.91,0,129070.91,134046.51,19210.55,74998.1,74998.1,69438.33,19656.62,1618.05,54072.82,72.1
2029,30,5,358290.99,209531.72,148759.27,0,148759.27,153399.29,19352.78,75735.67,75735.67,90861.86,21423.53,1765.29,73023.6,96.42
2030,31,6,373769.16,204487.46,169281.71,0,169281.71,172900.43,19501.15,74662.64,74662.64,114213.09,23351.23,1925.94,94619.07,126.73
2031,32,7,389915.99,199242.39,190673.61,0,190673.61,192556.36,19655.93,71538.22,71538.22,139667.44,25454.35,2101.2,119135.38,166.53
2032,33,8,406760.36,193788.52,212971.85,0,212971.85,212373.76,19817.4,66096.62,66096.62,167416.29,27748.86,2292.4,146875.22,222.21
2033,34,9,424332.41,188117.54,236214.87,0,236214.87,232359.6,19985.84,58044.64,58044.64,197668.46,30252.16,2501.01,178170.23,306.95
2034,35,10,442663.57,182220.81,260442.76,0,260442.76,252521.16,20161.56,47059.03,47059.03,230651.73,32983.27,2728.61,213383.73,453.44
2035,36,11,461786.64,176089.34,285697.3,0,285697.3,272866.04,20344.87,32783.64,32783.64,266614.63,35962.91,2976.91,252913.66,771.46
2036,37,12,481735.82,169713.78,312022.04,0,312022.04,293402.14,20536.1,14826.27,14826.27,305828.33,39213.69,3247.81,297195.77,2004.52
2037,38,13,502546.81,163084.43,339462.38,0,339462.38,314137.74,20735.6,-7244.77,-7244.77,348588.62,42760.3,3543.36,346707.15,0
2038,39,14,524256.83,156191.17,368065.66,0,368065.66,335081.44,20943.71,-33904.38,-33904.38,395218.27,46629.64,3865.8,401970.05,0
2039,40,15,546904.72,149023.5,397881.22,0,397881.22,356242.25,21160.81,-65674.81,-65674.81,446069.37,50851.1,4217.59,463556.03,0
2040,41,16,570531.01,141570.5,428960.51,0,428960.51,377629.53,21387.28,-103130.06,-103130.06,501526.08,55456.71,4601.39,532090.57,0
2041,42,17,595177.95,133820.81,461357.14,0,461357.14,399253.08,21623.55,-146900.87,-146900.87,562007.52,60481.43,5020.12,608258.01,0
2042,43,18,620889.63,125762.61,495127.02,0,495127.02,421123.1,21870.02,-197679.97,-197679.97,627970.92,65963.4,5476.95,692806.99,0
2043,44,19,647712.07,117383.63,530328.44,0,530328.44,443250.23,22127.13,-256227.97,-256227.97,699915.15,71944.23,5975.35,786556.41,0
2044,45,20,675693.23,108671.1,567022.13,0,567022.13,465645.59,22395.36,-323379.73,-323379.73,778384.47,78469.32,6519.11,890401.86,0
2045,46,21,704883.17,99611.73,605271.44,0,605271.44,488320.76,22675.17,-400051.28,-400051.28,863972.66,85588.19,7112.35,1005322.72,0
2046,47,22,735334.13,90191.73,645142.4,0,645142.4,511287.83,22967.07,-487247.47,-487247.47,957327.53,93354.87,7759.57,1132389.87,0
2047,48,23,767100.56,80396.73,686703.83,0,686703.83,534559.41,23271.58,-586070.26,-586070.26,1059155.86,101828.33,8465.69,1272774.09,0
2048,49,24,800239.31,70211.81,730027.5,0,730027.5,558148.65,23589.24,-697727.79,-697727.79,1170228.72,111072.86,9236.07,1427755.29,0
2049,50,25,834809.64,59621.44,775188.2,0,775188.2,582069.28,23920.63,-823544.29,-823544.29,1291387.37,121158.65,10076.55,1598732.49,0
2050,51,26,870873.42,48609.49,822263.93,0,822263.93,606335.61,24266.33,-964970.86,-964970.86,1423549.62,132162.25,10993.52,1787234.79,0
2051,52,27,908495.15,37159.17,871335.98,0,871335.98,630962.58,24626.97,-1123597.36,-1123597.36,1567716.8,144167.18,11993.93,1994933.34,0
2052,53,28,947742.14,25253.04,922489.11,0,922489.11,655965.77,25003.19,-1301165.22,-1301165.22,1724981.35,157264.55,13085.38,2223654.33,0
2053,54,29,988684.6,12872.93,975811.67,0,975811.67,681361.43,25395.66,-1499581.58,-1499581.58,1896535.13,171553.78,14276.15,2475393.25,0
2054,55,30,1031395.78,0,1031395.78,0,1031395.78,707166.52,25805.08,-1720934.66,-1720934.66,2083678.47,187143.34,15575.28,2752330.44,0
