Salary,Plan,Total Repaid,Borrowed,Multiplier,Written Off,Fully Repaid,Years,Annual Cost,Effective Tax %
"£25,000",Plan 2,15618.14060108332,50000,0.3123628120216664,386672.6726802935,False,30,520.6046867027774,1.539943808736582
"£25,000",Plan 5,45904.46215667092,50000,0.9180892431334183,705559.457802347,False,40,1147.611553916773,3.0399307929549026
"£30,000",Plan 2,32664.813853952794,50000,0.6532962770790559,339968.40390135295,False,30,1088.8271284650932,2.6839504107613608
"£30,000",Plan 5,73085.35458800514,50000,1.4617070917601027,582098.475101709,False,40,1827.1338647001285,4.033275660795754
"£40,000",Plan 2,69176.08513860367,50000,1.3835217027720734,230136.122078041,False,30,2305.8695046201224,4.26296280807102
"£40,000",Plan 5,127447.13945067338,50000,2.5489427890134677,335176.5097004339,False,40,3186.1784862668346,5.274956745596812
"£50,000",Plan 2,105687.35642325466,50000,2.1137471284650933,120303.84025472881,False,30,3522.9118807751556,5.210370246456817
"£50,000",Plan 5,181808.92431334185,50000,3.636178486266837,88254.5442991582,False,40,4545.223107833546,6.01996539647745
"£75,000",Plan 2,94997.49120285893,50000,1.8999498240571786,0,True,18,5277.638400158829,5.915443384299707
"£75,000",Plan 5,90175.8166605383,50000,1.803516333210766,0,True,17,5304.459803561076,6.008094937133224
"£100,000",Plan 2,73490.5212120276,50000,1.4698104242405519,0,True,11,6680.956473820691,6.03929985024191
"£100,000",Plan 5,72198.50730705437,50000,1.4439701461410874,0,True,10,7219.850730705437,6.593638989411954
